2026-04-11 02:30:33,868 | INFO | __main__ | Comparison rows generated: 36
2026-04-11 02:30:33,875 | INFO | __main__ | Sample comparison rows:
               scraped_at match_date match_time      home_team     away_team  market_type selection_name handicap_or_line sportsplus_odds playtime_odds stake_amount sportsplus_return playtime_return comparison_status
2026-04-11T02:29:36-04:00 2026-04-12      18:00 Boston Celtics Orlando Magic     Handicap Boston Celtics             +4.5            1.88                                                               missing_playtime
2026-04-11T02:29:36-04:00 2026-04-12      18:00 Boston Celtics Orlando Magic     Handicap  Orlando Magic             -4.5            1.98                                                               missing_playtime
2026-04-11T02:29:36-04:00 2026-04-12      18:00 Boston Celtics Orlando Magic Over / Under           Over            216.5            1.93                                                               missing_playtime
2026-04-11T02:29:36-04:00 2026-04-12      18:00 Boston Celtics Orlando Magic Over / Under          Under            216.5            1.91                                                               missing_playtime
2026-04-11T02:29:36-04:00 2026-04-12      18:00 Boston Celtics Orlando Magic       Winner Boston Celtics                             2.26                                                               missing_playtime
2026-04-11 02:30:33,875 | INFO | __main__ | Google Sheets raw NBA worksheet write starting
2026-04-11 02:30:36,196 | INFO | sheets_writer | Clearing 32 existing worksheet rows before writing NBA
2026-04-11 02:30:37,119 | INFO | sheets_writer | Replaced worksheet NBA contents with 37 current data rows
2026-04-11 02:30:37,124 | INFO | __main__ | Google Sheets raw NBA worksheet write complete: 37 rows
2026-04-11 02:30:37,125 | INFO | __main__ | Google Sheets comparison worksheet write starting
2026-04-11 02:30:39,182 | INFO | sheets_writer | Clearing 31 existing worksheet rows before writing NBA_COMPARISON
2026-04-11 02:30:40,022 | INFO | sheets_writer | Replaced worksheet NBA_COMPARISON contents with 36 current data rows
2026-04-11 02:30:40,025 | INFO | __main__ | Google Sheets comparison worksheet write complete for NBA_COMPARISON: 36 rows
2026-04-11 02:30:40,026 | INFO | __main__ | Cycle 1 totals: SPORTS PLUS=36 PLAYTIME=1 NBA=37 NBA_COMPARISON=36
2026-04-11 02:30:40,026 | INFO | __main__ | Cycle 1 end time: 2026-04-11 02:30:40-0400
2026-04-11 02:30:40,026 | INFO | __main__ | Cycle 1 duration seconds: 80.23
2026-04-11 02:31:56,985 | INFO | __main__ | Cycle 1 start time: 2026-04-11 02:31:56-0400
2026-04-11 02:31:56,987 | INFO | __main__ | Loaded configuration from .env
2026-04-11 02:31:56,987 | INFO | __main__ | Using Google credentials file /home/udot/PROJECTS/creds/sports-arb-493002-6fff70e8985a.json
2026-04-11 02:31:56,987 | INFO | __main__ | Cycle 1 source scraping starting
2026-04-11 02:31:56,988 | INFO | __main__ | SPORTS PLUS scrape step starting
2026-04-11 02:31:56,988 | INFO | SportsPlusScraper | Starting scrape for SPORTS PLUS
2026-04-11 02:31:57,484 | INFO | SportsPlusScraper | SPORTS PLUS browser launch starting
2026-04-11 02:31:58,078 | INFO | SportsPlusScraper | SPORTS PLUS page created
2026-04-11 02:31:58,079 | INFO | SportsPlusScraper | Opening https://www.sportsplus.ph/sbk/l/339/matches
2026-04-11 02:32:03,308 | INFO | SportsPlusScraper | Checking Sports Plus consent modal state
2026-04-11 02:32:03,397 | INFO | SportsPlusScraper | Sports Plus consent modal detected
2026-04-11 02:32:03,844 | INFO | SportsPlusScraper | Saved debug artifacts to output/sportsplus_debug_before_consent.html and output/sportsplus_debug_before_consent.png
2026-04-11 02:32:03,910 | INFO | SportsPlusScraper | Clicked consent control .terms-confirm-checkbox-age-wrapper
2026-04-11 02:32:03,972 | INFO | SportsPlusScraper | Clicked consent control .terms-confirm-checkbox-wrapper
2026-04-11 02:32:04,038 | INFO | SportsPlusScraper | Clicked consent control .terms-confirm-checkbox-agree-wrapper
